response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,1 - 4,CV,20X,Peri,200,8,DV,1.46718844181855,0.0686706200495054,Inf,21.3655918755479,0
Bulmer effect,1 - 5,CV,20X,Peri,200,8,DV,0.659018059278335,0.0686706200495072,Inf,9.59679785624805,3.81916720471054e-14
Bulmer effect,2 - 4,CV,20X,Peri,200,8,DV,0.598250156725391,0.0686706200495107,Inf,8.71187934948104,4.11892742135933e-14
Bulmer effect,2 - 5,CV,20X,Peri,200,8,DV,-0.20992022581482,0.0686706200495065,Inf,-3.05691466981778,0.018995304156324
Bulmer effect,3 - 4,CV,20X,Peri,200,8,DV,0.487924198930444,0.0686706200495083,Inf,7.10528314115518,1.20427001704115e-11
Bulmer effect,3 - 5,CV,20X,Peri,200,8,DV,-0.320246183609767,0.06867062004951,Inf,-4.66351087814376,3.06132420585525e-05
Bulmer effect,4 - 5,CV,20X,Peri,200,8,DV,-0.808170382540211,0.0686706200495036,Inf,-11.7687940192999,0
Bulmer effect,1 - 2,GW,20X,Peri,200,8,DV,1.4398043176214,0.0686706200495147,Inf,20.966816909229,0
Bulmer effect,1 - 3,GW,20X,Peri,200,8,DV,1.56742721951608,0.0686706200495128,Inf,22.8252958599462,0
Bulmer effect,1 - 4,GW,20X,Peri,200,8,DV,2.19141613389862,0.0686706200495069,Inf,31.9119899065825,0
Bulmer effect,1 - 5,GW,20X,Peri,200,8,DV,1.10644583806239,0.0686706200495062,Inf,16.1123612582022,0
Bulmer effect,2 - 4,GW,20X,Peri,200,8,DV,0.751611816277221,0.0686706200495121,Inf,10.9451729973503,4.61852778244065e-14
Bulmer effect,2 - 5,GW,20X,Peri,200,8,DV,-0.333358479559018,0.0686706200495088,Inf,-4.85445565102921,1.19398123665793e-05
Bulmer effect,3 - 4,GW,20X,Peri,200,8,DV,0.623988914382539,0.0686706200495108,Inf,9.08669404663377,6.46149800331841e-14
Bulmer effect,3 - 5,GW,20X,Peri,200,8,DV,-0.460981381453699,0.068670620049511,Inf,-6.71293460174577,1.90740090388886e-10
Bulmer effect,4 - 5,GW,20X,Peri,200,8,DV,-1.08497029583624,0.0686706200495013,Inf,-15.7996286483818,0
Bulmer effect,1 - 2,CV,2X,Peri,200,8,DV,0.930921727763455,0.0686706200495129,Inf,13.5563320542649,0
Bulmer effect,1 - 3,CV,2X,Peri,200,8,DV,1.124617401151,0.0686706200495074,Inf,16.3769804370518,0
Bulmer effect,1 - 4,CV,2X,Peri,200,8,DV,1.49109899114989,0.0686706200495036,Inf,21.7137837123792,0
Bulmer effect,1 - 5,CV,2X,Peri,200,8,DV,0.763025013308802,0.0686706200495118,Inf,11.1113750357672,1.99840144432528e-14
Bulmer effect,2 - 3,CV,2X,Peri,200,8,DV,0.193695673387547,0.0686706200495022,Inf,2.82064838278609,0.0385445319086301
Bulmer effect,2 - 4,CV,2X,Peri,200,8,DV,0.560177263386438,0.0686706200495002,Inf,8.15745165811293,6.3726801613484e-14
Bulmer effect,3 - 4,CV,2X,Peri,200,8,DV,0.366481589998891,0.0686706200495027,Inf,5.33680327532656,9.4173660869501e-07
Bulmer effect,3 - 5,CV,2X,Peri,200,8,DV,-0.3615923878422,0.0686706200495055,Inf,-5.26560540128403,1.39007549193604e-06
Bulmer effect,4 - 5,CV,2X,Peri,200,8,DV,-0.728073977841091,0.0686706200495038,Inf,-10.6024086766106,4.87387907810444e-14
Bulmer effect,1 - 2,GW,2X,Peri,200,8,DV,1.25669317992227,0.0686706200495119,Inf,18.3003033759735,0
Bulmer effect,1 - 3,GW,2X,Peri,200,8,DV,1.42732748121165,0.0686706200495048,Inf,20.7851258687149,0
Bulmer effect,1 - 4,GW,2X,Peri,200,8,DV,1.98901269266994,0.0686706200494994,Inf,28.9645366713773,0
Bulmer effect,1 - 5,GW,2X,Peri,200,8,DV,1.07404414021953,0.0686706200495119,Inf,15.6405190377652,0
Bulmer effect,2 - 4,GW,2X,Peri,200,8,DV,0.732319512747664,0.0686706200494879,Inf,10.6642332954022,4.45199432874688e-14
Bulmer effect,3 - 4,GW,2X,Peri,200,8,DV,0.561685211458287,0.0686706200494892,Inf,8.17941080266196,6.21724893790088e-14
Bulmer effect,3 - 5,GW,2X,Peri,200,8,DV,-0.353283340992119,0.0686706200495069,Inf,-5.14460683094787,2.66347053046179e-06
Bulmer effect,4 - 5,GW,2X,Peri,200,8,DV,-0.914968552450406,0.0686706200494979,Inf,-13.3240176336095,0
Bulmer effect,1 - 2,CV,20X,WT,200,8,DV,0.834790871053692,0.0686706200495152,Inf,12.1564487178325,0
Bulmer effect,1 - 3,CV,20X,WT,200,8,DV,0.959704906920949,0.0686706200495138,Inf,13.9754804344124,0
Bulmer effect,1 - 4,CV,20X,WT,200,8,DV,1.38442879463229,0.068670620049504,Inf,20.1604236809609,0
Bulmer effect,1 - 5,CV,20X,WT,200,8,DV,0.666274049302597,0.068670620049514,Inf,9.70246153045057,6.01740879346835e-14
Bulmer effect,2 - 4,CV,20X,WT,200,8,DV,0.549637923578594,0.0686706200495063,Inf,8.0039749631261,7.83817455385361e-14
Bulmer effect,3 - 4,CV,20X,WT,200,8,DV,0.424723887711337,0.0686706200495006,Inf,6.18494324654675,6.20761686498383e-09
Bulmer effect,3 - 5,CV,20X,WT,200,8,DV,-0.293430857618352,0.0686706200495151,Inf,-4.27301890396174,0.000187297555015897
Bulmer effect,4 - 5,CV,20X,WT,200,8,DV,-0.718154745329689,0.0686706200494996,Inf,-10.4579621505096,4.72955008490317e-14
Bulmer effect,1 - 2,GW,20X,WT,200,8,DV,1.08821176553495,0.068670620049516,Inf,15.8468318001247,0
Bulmer effect,1 - 3,GW,20X,WT,200,8,DV,1.31692779578631,0.0686706200495127,Inf,19.1774560188444,0
Bulmer effect,1 - 4,GW,20X,WT,200,8,DV,1.79923081754265,0.068670620049507,Inf,26.2008820692973,0
Bulmer effect,1 - 5,GW,20X,WT,200,8,DV,0.959834516396215,0.0686706200495119,Inf,13.9773678423781,0
Bulmer effect,2 - 3,GW,20X,WT,200,8,DV,0.228716030251356,0.0686706200495202,Inf,3.33062421871861,0.00772562555856293
Bulmer effect,2 - 4,GW,20X,WT,200,8,DV,0.711019052007701,0.0686706200495129,Inf,10.3540502691696,4.6296300126869e-14
Bulmer effect,3 - 4,GW,20X,WT,200,8,DV,0.482303021756345,0.0686706200495052,Inf,7.02342605045141,2.16837658939539e-11
Bulmer effect,3 - 5,GW,20X,WT,200,8,DV,-0.357093279390093,0.0686706200495152,Inf,-5.20008817646629,1.98031789555575e-06
Bulmer effect,4 - 5,GW,20X,WT,200,8,DV,-0.839396301146438,0.0686706200495073,Inf,-12.2235142269181,0
Bulmer effect,1 - 2,CV,2X,WT,200,8,DV,0.873136296055894,0.0686706200495148,Inf,12.7148450884282,0
