response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,2X,WT,200,2,GW,positive_QTL,DV,-0.0264523538807967,0.0057683467791487,Inf,-4.58577732816204,4.52300455328851e-06
QTL fixation,2 - 8,20X,Chr,2,3,GW,positive_QTL,DV,-0.0742857142852595,0.00576834677914852,Inf,-12.8781637320746,5.97400245862172e-38
QTL fixation,2 - 8,2X,Chr,2,3,GW,positive_QTL,DV,-0.0776190476190404,0.00576834677914853,Inf,-13.4560300534667,2.83757295466412e-41
QTL fixation,2 - 8,20X,Peri,2,3,GW,positive_QTL,DV,-0.0842857142857026,0.00576834677914855,Inf,-14.611762696095,2.36323526456896e-48
QTL fixation,2 - 8,2X,Peri,2,3,GW,positive_QTL,DV,-0.0752380952380969,0.00576834677914854,Inf,-13.0432683953864,6.94162497052175e-39
QTL fixation,2 - 8,20X,WT,2,3,GW,positive_QTL,DV,-0.071904761904776,0.00576834677914851,Inf,-12.465402074074,1.1528882512659e-35
QTL fixation,2 - 8,2X,WT,2,3,GW,positive_QTL,DV,-0.0645238095238125,0.00576834677914852,Inf,-11.1858409340184,4.78349025580176e-29
QTL fixation,2 - 8,20X,Peri,200,3,GW,positive_QTL,DV,-0.0129403546474446,0.00576834677914851,Inf,-2.24333854098743,0.0248749918274715
QTL fixation,2 - 8,20X,Chr,2,4,GW,positive_QTL,DV,-0.164285714285833,0.00576834677914855,Inf,-28.4805544076674,2.03992881022575e-178
QTL fixation,2 - 8,2X,Chr,2,4,GW,positive_QTL,DV,-0.186190476190356,0.0057683467791486,Inf,-32.2779616619786,1.42598543028464e-228
QTL fixation,2 - 8,20X,Peri,2,4,GW,positive_QTL,DV,-0.175476190476259,0.00576834677914865,Inf,-30.4205342006427,2.93978500703852e-203
QTL fixation,2 - 8,2X,Peri,2,4,GW,positive_QTL,DV,-0.181904761904761,0.00576834677914869,Inf,-31.5349906774514,2.88014201104501e-218
QTL fixation,2 - 8,20X,WT,2,4,GW,positive_QTL,DV,-0.17500000000009,0.00576834677914855,Inf,-30.3379818690306,3.61952020876301e-202
QTL fixation,2 - 8,2X,WT,2,4,GW,positive_QTL,DV,-0.185952380952371,0.00576834677914851,Inf,-32.23668549619,5.40648351152177e-228
QTL fixation,2 - 8,2X,Chr,200,4,GW,positive_QTL,DV,-0.0160823013003089,0.00576834677914858,Inf,-2.78802608720461,0.00530302733072593
QTL fixation,2 - 8,20X,Peri,200,4,GW,positive_QTL,DV,-0.0204413432256093,0.00576834677914858,Inf,-3.5437091437534,0.000394540243057719
QTL fixation,2 - 8,2X,Peri,200,4,GW,positive_QTL,DV,-0.0171876922285806,0.00576834677914871,Inf,-2.979656544005,0.00288571738083734
QTL fixation,2 - 8,20X,WT,200,4,GW,positive_QTL,DV,-0.0134010954625524,0.00576834677914844,Inf,-2.32321252095921,0.0201677384700556
QTL fixation,2 - 8,2X,WT,200,4,GW,positive_QTL,DV,-0.0148044665035436,0.00576834677914839,Inf,-2.56650077922833,0.0102730394452796
QTL fixation,2 - 8,20X,Chr,2,5,GW,positive_QTL,DV,-0.125714285714353,0.00576834677914855,Inf,-21.7938155467327,2.65574363538693e-105
