response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 200,Chr,20X,2,2,GW,large_neg,DV,-0.104023829457639,0.00754599282974178,Inf,-13.7853072226148,3.12433668990686e-43
QTL AF,2 - 200,Peri,20X,2,2,GW,large_neg,DV,-0.0988596586035021,0.00754599282974155,Inf,-13.1009478585587,3.2517115674386e-39
QTL AF,2 - 200,WT,20X,2,2,GW,large_neg,DV,-0.106656831876624,0.00754599282974147,Inf,-14.134234458354,2.3366112458233e-45
QTL AF,2 - 200,Chr,2X,2,2,GW,large_neg,DV,-0.102392364869876,0.00754599282974153,Inf,-13.5691044479012,6.10635441984392e-42
QTL AF,2 - 200,Peri,2X,2,2,GW,large_neg,DV,-0.105034694932692,0.00754599282974155,Inf,-13.9192677892181,4.8383529367362e-44
QTL AF,2 - 200,WT,2X,2,2,GW,large_neg,DV,-0.111001421989499,0.00754599282974148,Inf,-14.7099824362412,5.56218501107973e-49
QTL AF,2 - 200,Chr,20X,8,2,GW,large_neg,DV,0.023001719483826,0.00754599282974142,Inf,3.04820319907648,0.00230214200575129
QTL AF,2 - 200,Peri,20X,8,2,GW,large_neg,DV,0.0313862439158854,0.00754599282974154,Inf,4.15932596598563,3.191881133698e-05
QTL AF,2 - 200,WT,20X,8,2,GW,large_neg,DV,0.028775906493431,0.00754599282974149,Inf,3.81340231069592,0.000137066718543898
QTL AF,2 - 200,Chr,2X,8,2,GW,large_neg,DV,0.0362829091517225,0.00754599282974161,Inf,4.80823530718421,1.52268471589728e-06
QTL AF,2 - 200,Peri,2X,8,2,GW,large_neg,DV,0.0211693688147852,0.0075459928297418,Inf,2.80537886695945,0.00502574677001122
QTL AF,2 - 200,WT,2X,8,2,GW,large_neg,DV,0.0270040987071069,0.00754599282974172,Inf,3.57860116175478,0.000345438158640065
QTL AF,2 - 200,Chr,20X,2,3,GW,large_neg,DV,-0.103896629271586,0.00754599282974081,Inf,-13.7684505691685,3.9458526112757e-43
QTL AF,2 - 200,Peri,20X,2,3,GW,large_neg,DV,-0.125843681635313,0.00754599282974143,Inf,-16.6768885784411,1.93013589829291e-62
QTL AF,2 - 200,WT,20X,2,3,GW,large_neg,DV,-0.125189075070328,0.00754599282974128,Inf,-16.5901396800851,8.2129134249137e-62
QTL AF,2 - 200,Chr,2X,2,3,GW,large_neg,DV,-0.113578900042237,0.00754599282974119,Inf,-15.0515515459525,3.3723133746429e-51
QTL AF,2 - 200,Peri,2X,2,3,GW,large_neg,DV,-0.128310299392834,0.00754599282974139,Inf,-17.0037664079296,7.70091786100655e-65
QTL AF,2 - 200,WT,2X,2,3,GW,large_neg,DV,-0.131912251486323,0.0075459928297415,Inf,-17.4810995004406,1.9961270095831e-68
QTL AF,2 - 200,Chr,20X,8,3,GW,large_neg,DV,0.0236714431113408,0.00754599282974118,Inf,3.13695542063651,0.00170712081450873
QTL AF,2 - 200,Peri,20X,8,3,GW,large_neg,DV,0.0374424349293702,0.00754599282974135,Inf,4.96189643618487,6.98082159991844e-07
QTL AF,2 - 200,WT,20X,8,3,GW,large_neg,DV,0.0325818118594598,0.0075459928297414,Inf,4.31776342684073,1.57618237370919e-05
QTL AF,2 - 200,Chr,2X,8,3,GW,large_neg,DV,0.031641756542966,0.00754599282974136,Inf,4.19318666965265,2.75062914159619e-05
QTL AF,2 - 200,Peri,2X,8,3,GW,large_neg,DV,0.0328974559279567,0.00754599282974128,Inf,4.35959278920818,1.30304693428563e-05
QTL AF,2 - 200,WT,2X,8,3,GW,large_neg,DV,0.0389307957977173,0.0075459928297417,Inf,5.15913501060799,2.48093365129416e-07
QTL AF,2 - 200,Chr,20X,2,4,GW,large_neg,DV,-0.0647826945352963,0.00754599282974094,Inf,-8.58504586433861,9.08001963403042e-18
QTL AF,2 - 200,Peri,20X,2,4,GW,large_neg,DV,-0.0634496485403932,0.00754599282974138,Inf,-8.40838972047735,4.15677985614279e-17
QTL AF,2 - 200,WT,20X,2,4,GW,large_neg,DV,-0.0717323554750855,0.00754599282974135,Inf,-9.50601956476338,1.98097812129029e-21
QTL AF,2 - 200,Chr,2X,2,4,GW,large_neg,DV,-0.0571581072239023,0.00754599282974125,Inf,-7.5746304712381,3.6015128420979e-14
QTL AF,2 - 200,Peri,2X,2,4,GW,large_neg,DV,-0.0580551634140835,0.00754599282974142,Inf,-7.6935089555436,1.4315368215796e-14
QTL AF,2 - 200,WT,2X,2,4,GW,large_neg,DV,-0.0624087921438311,0.00754599282974142,Inf,-8.27045473696396,1.33449032367952e-16
QTL AF,2 - 200,Chr,20X,8,4,GW,large_neg,DV,0.0467408200353899,0.00754599282974127,Inf,6.19412462879223,5.86098392487186e-10
QTL AF,2 - 200,Peri,20X,8,4,GW,large_neg,DV,0.0503252274911101,0.00754599282974151,Inf,6.6691326942109,2.57319522418345e-11
QTL AF,2 - 200,WT,20X,8,4,GW,large_neg,DV,0.0435052542249063,0.00754599282974143,Inf,5.76534529073983,8.1490826262518e-09
