response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,4,CV,DV,-0.665714285714458,0.00576834677914851,Inf,-115.408159599712,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,4,CV,DV,-0.807142857142992,0.00576834677914849,Inf,-139.926202089768,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,4,CV,DV,-0.64833333333309,0.00576834677914851,Inf,-112.394999495643,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,4,CV,DV,-0.809047619047656,0.00576834677914855,Inf,-140.256411416215,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,4,CV,DV,-0.0357214589192529,0.0057683467791485,Inf,-6.19266841729754,5.91540877366507e-10
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,4,CV,DV,-0.0578081492076087,0.00576834677914851,Inf,-10.0216147573815,1.22485189935465e-23
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,4,CV,DV,-0.0378597057559064,0.00576834677914851,Inf,-6.56335466736538,5.26105105166531e-11
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,4,CV,DV,-0.0573484268361722,0.00576834677914858,Inf,-9.94191733469896,2.73511239861411e-23
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,4,CV,DV,-0.0375257087046497,0.00576834677914861,Inf,-6.50545297316337,7.74596137533652e-11
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,4,CV,DV,-0.0585792437388904,0.00576834677914856,Inf,-10.1552916254347,3.13870405137759e-24
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,4,CV,DV,-0.0378063431109821,0.00576834677914853,Inf,-6.55410372476994,5.59770502088833e-11
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,4,CV,DV,-0.0574836795444781,0.00576834677914865,Inf,-9.96536473019781,2.16079288201263e-23
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,4,CV,DV,-0.0369388000585161,0.00576834677914853,Inf,-6.40370655107678,1.5164945633335e-10
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,4,CV,DV,-0.0580995296383904,0.00576834677914854,Inf,-10.0721284386731,7.33727680438561e-24
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,4,CV,DV,-0.0381345832548576,0.00576834677914853,Inf,-6.61100740210469,3.81713398091504e-11
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,4,CV,DV,-0.0580750270958562,0.00576834677914852,Inf,-10.067880680438,7.66110781853575e-24
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,5,CV,DV,-0.324523809524505,0.00576834677914879,Inf,-56.2594139966728,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,5,CV,DV,-0.371428571429955,0.00576834677914866,Inf,-64.3908186610053,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,5,CV,DV,-0.325476190476068,0.00576834677914855,Inf,-56.424518659766,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,5,CV,DV,-0.359047619047594,0.0057683467791485,Inf,-62.2444580387372,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,5,CV,DV,-0.336428571428479,0.00576834677914855,Inf,-58.3232222869476,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,5,CV,DV,-0.374285714285567,0.00576834677914856,Inf,-64.8861326504393,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,5,CV,DV,-0.30476190476181,0.00576834677914848,Inf,-52.8334922344594,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,5,CV,DV,-0.385714285714291,0.00576834677914847,Inf,-66.8673886092595,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,5,CV,DV,-0.3140476190475,0.00576834677914864,Inf,-54.4432627009729,0
