response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,Peri - WT,20X,200,2,5,CV,positive_QTL,R,-0.0184803564959063,0.00576834677914857,Inf,-3.20375268746136,0.00387823576856405
QTL fixation,Peri - WT,20X,2,8,5,CV,positive_QTL,R,0.0178571428571329,0.00576834677914849,Inf,3.09571243561208,0.00557280470630261
QTL fixation,Chr - WT,20X,200,8,5,CV,positive_QTL,R,-0.0142044630854658,0.00576834677914857,Inf,-2.46248424883402,0.0367485080059056
QTL fixation,Peri - WT,2X,2,2,1,GW,positive_QTL,R,-0.0138095238094821,0.00576834677914843,Inf,-2.39401761686748,0.0439640250459155
QTL fixation,Chr - WT,2X,2,2,2,GW,positive_QTL,R,-0.0190476190476949,0.00576834677914833,Inf,-3.30209326466798,0.00275990972077422
QTL fixation,Peri - WT,2X,2,2,2,GW,positive_QTL,R,-0.0204761904761898,0.00576834677914855,Inf,-3.54975025950367,0.00112254094649
QTL fixation,Peri - WT,20X,2,8,2,GW,positive_QTL,R,-0.0140476190476194,0.00576834677914873,Inf,-2.43529378268282,0.039483184049097
QTL fixation,Chr - WT,20X,2,8,3,GW,positive_QTL,R,-0.0230952380952777,0.00576834677914853,Inf,-4.00378808340069,0.000184149273792955
QTL fixation,Chr - Peri,2X,2,8,3,GW,positive_QTL,R,0.0257142857142841,0.00576834677914853,Inf,4.45782590728359,2.46543159554413e-05
QTL fixation,Peri - WT,2X,2,8,3,GW,positive_QTL,R,-0.0192857142857136,0.00576834677914855,Inf,-3.34336943046277,0.00238577245045102
QTL fixation,Chr - WT,20X,2,2,4,GW,positive_QTL,R,-0.0157142857141207,0.00576834677914849,Inf,-2.72422694331154,0.0177104150162206
QTL fixation,Peri - WT,20X,2,2,4,GW,positive_QTL,R,-0.0140476190476207,0.00576834677914846,Inf,-2.43529378268317,0.0394831840490608
QTL fixation,Chr - WT,2X,2,2,5,GW,positive_QTL,R,-0.0238095238095151,0.00576834677914857,Inf,-4.12761658081685,0.000108573886327346
QTL fixation,Peri - WT,2X,2,2,5,GW,positive_QTL,R,-0.0219047619047627,0.00576834677914848,Inf,-3.79740725435309,0.00042952526791451
QTL fixation,Peri - WT,20X,200,2,5,GW,positive_QTL,R,-0.0176360180041175,0.00576834677914868,Inf,-3.05737825400301,0.0063198418467777
QTL fixation,Chr - WT,2X,2,8,5,GW,positive_QTL,R,-0.0264285714285727,0.00576834677914864,Inf,-4.58165440470854,1.37560134915171e-05
QTL fixation,Peri - WT,2X,2,8,5,GW,positive_QTL,R,-0.0240476190476188,0.00576834677914833,Inf,-4.16889274662668,9.07377811110166e-05
