response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,20X,2,4,GW,negative_QTL,DV,-0.208774357915839,0.00576834677914853,Inf,-36.1931010580914,7.81635061162433e-287
QTL fixation,2 - 200,Peri,20X,2,4,GW,negative_QTL,DV,-0.19436146285468,0.00576834677914856,Inf,-33.6944830635458,6.96285330040953e-249
QTL fixation,2 - 200,WT,20X,2,4,GW,negative_QTL,DV,-0.21297630725933,0.00576834677914852,Inf,-36.9215505609336,2.08462881714041e-298
QTL fixation,2 - 200,Chr,2X,2,4,GW,negative_QTL,DV,-0.200426323701056,0.00576834677914853,Inf,-34.7458867115201,1.59913636814966e-264
QTL fixation,2 - 200,Peri,2X,2,4,GW,negative_QTL,DV,-0.195568157753492,0.00576834677914859,Inf,-33.9036755661832,5.88056067825116e-252
QTL fixation,2 - 200,WT,2X,2,4,GW,negative_QTL,DV,-0.207054827735615,0.00576834677914851,Inf,-35.8950034842009,3.65535996427896e-282
QTL fixation,2 - 200,Chr,20X,8,4,GW,negative_QTL,DV,-0.250056163074583,0.0057683467791485,Inf,-43.3497105233841,0
QTL fixation,2 - 200,Peri,20X,8,4,GW,negative_QTL,DV,-0.244582111457648,0.00576834677914849,Inf,-42.4007295022149,0
QTL fixation,2 - 200,WT,20X,8,4,GW,negative_QTL,DV,-0.258912721882823,0.00576834677914853,Inf,-44.8850826407911,0
QTL fixation,2 - 200,Chr,2X,8,4,GW,negative_QTL,DV,-0.265468277751537,0.00576834677914851,Inf,-46.0215531269992,0
QTL fixation,2 - 200,Peri,2X,8,4,GW,negative_QTL,DV,-0.254799483477282,0.00576834677914849,Inf,-44.1720120569615,0
QTL fixation,2 - 200,WT,2X,8,4,GW,negative_QTL,DV,-0.26894266586373,0.00576834677914852,Inf,-46.6238726901626,0
QTL fixation,2 - 200,Chr,20X,2,5,GW,negative_QTL,DV,-0.0554096645048758,0.00576834677914864,Inf,-9.60581369781201,7.55587391802946e-22
QTL fixation,2 - 200,Peri,20X,2,5,GW,negative_QTL,DV,-0.0507238223138101,0.00576834677914851,Inf,-8.7934765810487,1.45001839576023e-18
QTL fixation,2 - 200,WT,20X,2,5,GW,negative_QTL,DV,-0.0516902121720815,0.00576834677914854,Inf,-8.96100982675515,3.21718382204631e-19
QTL fixation,2 - 200,Chr,2X,2,5,GW,negative_QTL,DV,-0.0520294750000243,0.00576834677914854,Inf,-9.01982439545777,1.88391041822755e-19
QTL fixation,2 - 200,Peri,2X,2,5,GW,negative_QTL,DV,-0.0618412632737619,0.00576834677914856,Inf,-10.7207949940364,8.13014900375448e-27
QTL fixation,2 - 200,WT,2X,2,5,GW,negative_QTL,DV,-0.0478084482075477,0.00576834677914853,Inf,-8.28806762803618,1.15103131440872e-16
QTL fixation,2 - 200,Chr,20X,8,5,GW,negative_QTL,DV,-0.0408282188815035,0.00576834677914853,Inf,-7.07797579526419,1.46275265444793e-12
