response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,DV - R,CV,2X,Chr,200,2,1,positive_QTL,0.0573655962336039,0.00576834677914854,Inf,9.94489381965895,2.65456967762911e-23
QTL fixation,DV - R,GW,2X,Chr,200,2,1,positive_QTL,0.0490270089241429,0.00576834677914855,Inf,8.49931718761535,1.90709140253702e-17
QTL fixation,DV - R,CV,20X,Peri,200,2,1,positive_QTL,0.0469393075073056,0.00576834677914855,Inf,8.13739348629006,4.03878435145977e-16
QTL fixation,DV - R,GW,20X,Peri,200,2,1,positive_QTL,0.0393366568541485,0.00576834677914856,Inf,6.81939875673613,9.14223156412662e-12
QTL fixation,DV - R,CV,2X,Peri,200,2,1,positive_QTL,0.0490361044039244,0.00576834677914856,Inf,8.5008939790479,1.88136141378727e-17
QTL fixation,DV - R,GW,2X,Peri,200,2,1,positive_QTL,0.0445988872910215,0.00576834677914866,Inf,7.7316584800756,1.06154414950133e-14
QTL fixation,DV - R,CV,20X,WT,200,2,1,positive_QTL,0.0524337794188719,0.00576834677914846,Inf,9.08991456762111,9.91169085075659e-20
QTL fixation,DV - R,GW,20X,WT,200,2,1,positive_QTL,0.0463798739328655,0.00576834677914846,Inf,8.0404101397857,8.95382717517387e-16
QTL fixation,DV - R,CV,2X,WT,200,2,1,positive_QTL,0.0503002472691042,0.00576834677914853,Inf,8.72004565518322,2.78089636083988e-18
QTL fixation,DV - R,GW,2X,WT,200,2,1,positive_QTL,0.0512686182312748,0.00576834677914852,Inf,8.88792234485645,6.22621704144647e-19
QTL fixation,DV - R,CV,20X,Chr,200,8,1,positive_QTL,0.0500146741421063,0.00576834677914853,Inf,8.67053872747384,4.30080640331475e-18
QTL fixation,DV - R,GW,20X,Chr,200,8,1,positive_QTL,0.0482413664850209,0.00576834677914846,Inf,8.36311829576627,6.10819135538355e-17
QTL fixation,DV - R,CV,2X,Chr,200,8,1,positive_QTL,0.050341865885644,0.00576834677914853,Inf,8.72726065423464,2.60915268790709e-18
QTL fixation,DV - R,GW,2X,Chr,200,8,1,positive_QTL,0.0438286882030061,0.0057683467791485,Inf,7.59813684597442,3.00424555202016e-14
QTL fixation,DV - R,CV,20X,Peri,200,8,1,positive_QTL,0.0489664793012341,0.00576834677914854,Inf,8.4888237784591,2.08738963232427e-17
QTL fixation,DV - R,GW,20X,Peri,200,8,1,positive_QTL,0.0372203276176947,0.00576834677914848,Inf,6.45251213956821,1.1001106768041e-10
QTL fixation,DV - R,CV,2X,Peri,200,8,1,positive_QTL,0.0516682053954923,0.00576834677914847,Inf,8.95719473424578,3.33043198712178e-19
QTL fixation,DV - R,GW,2X,Peri,200,8,1,positive_QTL,0.0480788306363671,0.00576834677914882,Inf,8.33494109788276,7.7536782996013e-17
QTL fixation,DV - R,CV,20X,WT,200,8,1,positive_QTL,0.0503741206768433,0.00576834677914856,Inf,8.73285234149511,2.4832919354929e-18
QTL fixation,DV - R,GW,20X,WT,200,8,1,positive_QTL,0.0452093709721243,0.00576834677914847,Inf,7.83749186778229,4.59634706333277e-15
QTL fixation,DV - R,CV,2X,WT,200,8,1,positive_QTL,0.0508341256344284,0.00576834677914853,Inf,8.81259875328301,1.22277585944914e-18
QTL fixation,DV - R,GW,2X,WT,200,8,1,positive_QTL,0.0432410199738004,0.00576834677914901,Inf,7.4962587426444,6.56651086437997e-14
QTL fixation,DV - R,CV,2X,Chr,2,2,2,positive_QTL,-0.0142857142852968,0.00576834677914849,Inf,-2.47656994841868,0.0132651629130147
QTL fixation,DV - R,CV,20X,Peri,2,2,2,positive_QTL,-0.0123809523802083,0.00576834677914857,Inf,-2.14636062189656,0.0318442184598048
QTL fixation,DV - R,GW,20X,WT,2,2,2,positive_QTL,0.0154761904760107,0.00576834677914851,Inf,2.6829507775008,0.00729757302396715
QTL fixation,DV - R,CV,20X,Chr,200,2,2,positive_QTL,0.0298123055713648,0.00576834677914854,Inf,5.16825820512917,2.36285723753052e-07
QTL fixation,DV - R,GW,20X,Chr,200,2,2,positive_QTL,0.0290162587072446,0.00576834677914849,Inf,5.03025560324027,4.89826394755145e-07
QTL fixation,DV - R,CV,2X,Chr,200,2,2,positive_QTL,0.0382684934175693,0.00576834677914854,Inf,6.63422205403851,3.26218423130713e-11
QTL fixation,DV - R,GW,2X,Chr,200,2,2,positive_QTL,0.0335095447817808,0.00576834677914851,Inf,5.80921121159211,6.27678629083205e-09
QTL fixation,DV - R,CV,20X,Peri,200,2,2,positive_QTL,0.0354770640591331,0.00576834677914854,Inf,6.15030014966782,7.73364509808764e-10
