response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,med_neg - small_neg,2,20X,Peri,200,3,CV,DV,-0.017986003082977,0.00754599282974143,Inf,-2.38351711813028,0.0451701543650508
QTL AF,large_neg - med_neg,8,20X,Peri,200,3,CV,DV,-0.0473126484265567,0.0075459928297415,Inf,-6.26990370837358,1.08360065365076e-09
QTL AF,large_neg - small_neg,8,20X,Peri,200,3,CV,DV,-0.0775498564410479,0.00754599282974137,Inf,-10.2769586707526,3.23074900165921e-14
QTL AF,med_neg - small_neg,8,20X,Peri,200,3,CV,DV,-0.0302372080144912,0.00754599282974153,Inf,-4.00705496237887,0.000181635587373719
QTL AF,large_neg - med_neg,2,2X,Peri,200,3,CV,DV,-0.0276905134466544,0.00754599282974119,Inf,-3.66956530060791,0.000710652865708705
QTL AF,large_neg - small_neg,2,2X,Peri,200,3,CV,DV,-0.04411195938081,0.00754599282974152,Inf,-5.84574626243331,1.51208059406827e-08
QTL AF,large_neg - med_neg,8,2X,Peri,200,3,CV,DV,-0.0465824715111145,0.00754599282974158,Inf,-6.17314017679895,2.00788208282177e-09
QTL AF,large_neg - small_neg,8,2X,Peri,200,3,CV,DV,-0.072305398852527,0.00754599282974157,Inf,-9.58195965513571,2.29816166097407e-14
QTL AF,med_neg - small_neg,8,2X,Peri,200,3,CV,DV,-0.0257229273414125,0.00754599282974184,Inf,-3.40881947833663,0.0018870871509391
QTL AF,large_neg - med_neg,2,20X,WT,200,3,CV,DV,-0.0320410657027393,0.00754599282974126,Inf,-4.24610338568767,6.4572581145339e-05
QTL AF,large_neg - small_neg,2,20X,WT,200,3,CV,DV,-0.0470473328610983,0.00754599282974139,Inf,-6.23474391277823,1.35725475303161e-09
QTL AF,large_neg - med_neg,8,20X,WT,200,3,CV,DV,-0.0453116645049878,0.00754599282974132,Inf,-6.00473198521992,5.74722058832577e-09
QTL AF,large_neg - small_neg,8,20X,WT,200,3,CV,DV,-0.073627030292311,0.00754599282974141,Inf,-9.75710313454326,3.29736238313672e-14
QTL AF,med_neg - small_neg,8,20X,WT,200,3,CV,DV,-0.0283153657873231,0.00754599282974144,Inf,-3.75237114932341,0.000513834865034202
QTL AF,large_neg - med_neg,2,2X,WT,200,3,CV,DV,-0.0304843532596824,0.00754599282974136,Inf,-4.03980681502015,0.000158163459397342
QTL AF,large_neg - small_neg,2,2X,WT,200,3,CV,DV,-0.0470308821834331,0.00754599282974135,Inf,-6.23256385800795,1.37628264340606e-09
QTL AF,large_neg - med_neg,8,2X,WT,200,3,CV,DV,-0.042555813883778,0.00754599282974133,Inf,-5.63952482383114,5.11132003389037e-08
QTL AF,large_neg - small_neg,8,2X,WT,200,3,CV,DV,-0.0694169455129641,0.00754599282974141,Inf,-9.19917989311725,3.44169137633799e-14
QTL AF,med_neg - small_neg,8,2X,WT,200,3,CV,DV,-0.0268611316291861,0.00754599282974154,Inf,-3.5596550692861,0.00108149388516299
QTL AF,large_neg - med_neg,2,20X,Chr,2,4,CV,DV,0.0945835227270604,0.00754599282974428,Inf,12.5342714817111,0
QTL AF,med_neg - small_neg,2,20X,Chr,2,4,CV,DV,-0.11040397727271,0.00754599282974212,Inf,-14.630808664111,0
QTL AF,large_neg - med_neg,8,20X,Chr,2,4,CV,DV,0.104023181818021,0.00754599282974114,Inf,13.7852213969821,0
QTL AF,large_neg - small_neg,8,20X,Chr,2,4,CV,DV,0.227009090908948,0.00754599282974124,Inf,30.0833960528336,0
QTL AF,med_neg - small_neg,8,20X,Chr,2,4,CV,DV,0.122985909090927,0.00754599282974162,Inf,16.2981746558508,0
QTL AF,large_neg - med_neg,2,2X,Chr,2,4,CV,DV,0.0981613636363938,0.00754599282974132,Inf,13.0084093440305,0
QTL AF,med_neg - small_neg,2,2X,Chr,2,4,CV,DV,-0.0977613636363703,0.00754599282974168,Inf,-12.9554010773844,0
QTL AF,large_neg - med_neg,8,2X,Chr,2,4,CV,DV,0.102296363636366,0.00754599282974107,Inf,13.5563823004423,0
QTL AF,large_neg - small_neg,8,2X,Chr,2,4,CV,DV,0.215681818181817,0.00754599282974107,Inf,28.5822983202089,0
QTL AF,med_neg - small_neg,8,2X,Chr,2,4,CV,DV,0.113385454545451,0.00754599282974148,Inf,15.0259160197658,0
QTL AF,large_neg - med_neg,2,20X,Peri,2,4,CV,DV,0.0965254545454535,0.00754599282974131,Inf,12.7916175807926,0
QTL AF,med_neg - small_neg,2,20X,Peri,2,4,CV,DV,-0.103118636363632,0.00754599282974144,Inf,-13.6653504303906,0
QTL AF,large_neg - med_neg,8,20X,Peri,2,4,CV,DV,0.0984293181818123,0.0075459928297414,Inf,13.0439188590092,0
QTL AF,large_neg - small_neg,8,20X,Peri,2,4,CV,DV,0.210247727272718,0.00754599282974152,Inf,27.8621689705369,0
QTL AF,med_neg - small_neg,8,20X,Peri,2,4,CV,DV,0.111818409090906,0.00754599282974152,Inf,14.8182501115279,0
QTL AF,large_neg - med_neg,2,2X,Peri,2,4,CV,DV,0.108467499999982,0.00754599282974143,Inf,14.3741854050634,0
QTL AF,med_neg - small_neg,2,2X,Peri,2,4,CV,DV,-0.101165227272729,0.00754599282974148,Inf,-13.4064833555103,0
QTL AF,large_neg - med_neg,8,2X,Peri,2,4,CV,DV,0.097641250000012,0.00754599282974148,Inf,12.9394835382261,0
QTL AF,large_neg - small_neg,8,2X,Peri,2,4,CV,DV,0.220302272727287,0.00754599282974147,Inf,29.1946040365949,0
QTL AF,med_neg - small_neg,8,2X,Peri,2,4,CV,DV,0.122661022727275,0.0075459928297416,Inf,16.2551204983686,0
QTL AF,large_neg - med_neg,2,20X,WT,2,4,CV,DV,0.0953967045454581,0.00754599282974112,Inf,12.6420348783622,0
QTL AF,med_neg - small_neg,2,20X,WT,2,4,CV,DV,-0.105935340909088,0.00754599282974144,Inf,-14.0386219943861,0
QTL AF,large_neg - med_neg,8,20X,WT,2,4,CV,DV,0.104604772727251,0.00754599282974135,Inf,13.8622942119647,0
QTL AF,large_neg - small_neg,8,20X,WT,2,4,CV,DV,0.219893181818157,0.00754599282974134,Inf,29.1403910366152,0
QTL AF,med_neg - small_neg,8,20X,WT,2,4,CV,DV,0.115288409090907,0.0075459928297414,Inf,15.2780968246504,0
QTL AF,large_neg - med_neg,2,2X,WT,2,4,CV,DV,0.0864606818181712,0.00754599282974128,Inf,11.4578271897371,0
QTL AF,med_neg - small_neg,2,2X,WT,2,4,CV,DV,-0.100383409090909,0.00754599282974134,Inf,-13.3028762888912,0
QTL AF,large_neg - med_neg,8,2X,WT,2,4,CV,DV,0.0923953409091032,0.00754599282974133,Inf,12.2442921685456,0
QTL AF,large_neg - small_neg,8,2X,WT,2,4,CV,DV,0.215127272727286,0.0075459928297414,Inf,28.50880958691,0
QTL AF,med_neg - small_neg,8,2X,WT,2,4,CV,DV,0.122731931818182,0.00754599282974129,Inf,16.2645174183647,0
QTL AF,large_neg - med_neg,2,20X,Chr,200,4,CV,DV,-0.0360735722528746,0.00754599282974146,Inf,-4.78049384180379,5.22356506738042e-06
QTL AF,large_neg - small_neg,2,20X,Chr,200,4,CV,DV,-0.0558615338189684,0.00754599282974134,Inf,-7.4028076993128,4.20330437123084e-13
QTL AF,med_neg - small_neg,2,20X,Chr,200,4,CV,DV,-0.0197879615660937,0.00754599282974158,Inf,-2.62231385750885,0.0237301274162156
QTL AF,large_neg - med_neg,8,20X,Chr,200,4,CV,DV,-0.0534687279695969,0.00754599282974124,Inf,-7.0857114730959,4.17210710423888e-12
QTL AF,large_neg - small_neg,8,20X,Chr,200,4,CV,DV,-0.0860730091884602,0.00754599282974121,Inf,-11.4064525544231,0
