response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 8,2X,Peri,2,4,CV,med_neg,DV,-0.0919762499999929,0.00754599282974135,Inf,-12.1887539619019,3.56835664273672e-34
QTL AF,2 - 8,20X,WT,2,4,CV,med_neg,DV,-0.0966487500000033,0.00754599282974138,Inf,-12.8079567766188,1.47979916524665e-37
QTL AF,2 - 8,2X,WT,2,4,CV,med_neg,DV,-0.0847062499999934,0.0075459928297413,Inf,-11.2253287156778,3.06245489608514e-29
QTL AF,2 - 8,20X,Chr,2,5,CV,med_neg,DV,-0.0338887499999204,0.0075459928297425,Inf,-4.49095974042647,7.09029537130959e-06
QTL AF,2 - 8,2X,Chr,2,5,CV,med_neg,DV,-0.0247387500000323,0.00754599282974161,Inf,-3.2783956409987,0.00104398958576724
QTL AF,2 - 8,20X,Peri,2,5,CV,med_neg,DV,-0.0481362500000096,0.00754599282974134,Inf,-6.37904793790529,1.78192257571754e-10
QTL AF,2 - 8,2X,Peri,2,5,CV,med_neg,DV,-0.0316049999999909,0.00754599282974149,Inf,-4.18831566807539,2.8103243875507e-05
QTL AF,2 - 8,20X,WT,2,5,CV,med_neg,DV,-0.0387137499999987,0.00754599282974143,Inf,-5.13037195681052,2.89170204904887e-07
QTL AF,2 - 8,2X,WT,2,5,CV,med_neg,DV,-0.0726924999999947,0.00754599282974144,Inf,-9.63325855724216,5.78647897438753e-22
QTL AF,2 - 8,20X,Chr,2,1,GW,med_neg,DV,-0.0387712499998919,0.00754599282974123,Inf,-5.13799189512633,2.77689855713003e-07
QTL AF,2 - 8,2X,Chr,2,1,GW,med_neg,DV,-0.034004999999988,0.00754599282974136,Inf,-4.50636526792904,6.59475261170483e-06
QTL AF,2 - 8,20X,Peri,2,1,GW,med_neg,DV,-0.038325000000006,0.00754599282974116,Inf,-5.07885454766866,3.79717272728785e-07
QTL AF,2 - 8,2X,Peri,2,1,GW,med_neg,DV,-0.0345187499999952,0.00754599282974128,Inf,-4.57444776039877,4.77477720711755e-06
QTL AF,2 - 8,20X,WT,2,1,GW,med_neg,DV,-0.0399312499999833,0.00754599282974176,Inf,-5.29171586840083,1.2117404942211e-07
QTL AF,2 - 8,2X,WT,2,1,GW,med_neg,DV,-0.035912499999999,0.0075459928297415,Inf,-4.75914843948099,1.94411425292008e-06
QTL AF,2 - 8,20X,Chr,2,3,GW,med_neg,DV,0.0209962499999625,0.00754599282974145,Inf,2.78243704621727,0.00539523312703997
QTL AF,2 - 8,2X,WT,2,3,GW,med_neg,DV,0.0229912499999971,0.00754599282974152,Inf,3.04681577610043,0.00231279409029606
QTL AF,2 - 8,20X,Chr,2,4,GW,med_neg,DV,-0.0476312500000162,0.00754599282974162,Inf,-6.31212500127,2.752297707356e-10
QTL AF,2 - 8,2X,Chr,2,4,GW,med_neg,DV,-0.0592787499999931,0.00754599282974151,Inf,-7.85565946555818,3.976741749651e-15
QTL AF,2 - 8,20X,Peri,2,4,GW,med_neg,DV,-0.042962499999993,0.00754599282974147,Inf,-5.69341913905117,1.24520201923295e-08
QTL AF,2 - 8,2X,Peri,2,4,GW,med_neg,DV,-0.0581612500000027,0.00754599282974112,Inf,-7.70756762062787,1.28238362032366e-14
