response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,2 - 8,20X,Chr,2,3,GW,small_neg,0.0965477272727116,0.00912757190996605,Inf,10.5775915243456,3.7856431366597e-26
QTL DV AF,2 - 8,2X,Chr,2,3,GW,small_neg,0.121802272727276,0.00912757190996592,Inf,13.3444331010185,1.27637849029773e-40
QTL DV AF,2 - 8,20X,Peri,2,3,GW,small_neg,0.113084090909092,0.00912757190996599,Inf,12.3892851269263,2.98694128057847e-35
QTL DV AF,2 - 8,2X,Peri,2,3,GW,small_neg,0.123529545454547,0.009127571909966,Inf,13.5336699259164,9.89573602535172e-42
QTL DV AF,2 - 8,20X,WT,2,3,GW,small_neg,0.122002272727274,0.00912757190996596,Inf,13.3663447333749,9.51006514574046e-41
QTL DV AF,2 - 8,2X,WT,2,3,GW,small_neg,0.120788636363636,0.00912757190996602,Inf,13.2333809643014,5.62968231991195e-40
QTL DV AF,2 - 8,20X,Chr,2,4,GW,small_neg,0.128731818181823,0.00912757190996596,Inf,14.1036213630119,3.60770842247078e-45
QTL DV AF,2 - 8,2X,Chr,2,4,GW,small_neg,0.123156818181818,0.009127571909966,Inf,13.4928346110698,1.72344712250869e-41
QTL DV AF,2 - 8,20X,Peri,2,4,GW,small_neg,0.12131590909091,0.00912757190996594,Inf,13.29114799506,2.60549792899208e-40
QTL DV AF,2 - 8,2X,Peri,2,4,GW,small_neg,0.154981818181818,0.00912757190996595,Inf,16.9795231098208,1.16428248186418e-64
QTL DV AF,2 - 8,20X,WT,2,4,GW,small_neg,0.113431818181817,0.00912757190996596,Inf,12.427381487728,1.85615279743008e-35
QTL DV AF,2 - 8,2X,WT,2,4,GW,small_neg,0.114525000000001,0.00912757190996619,Inf,12.5471484782227,4.120839701434e-36
QTL DV AF,2 - 8,20X,Chr,200,4,GW,small_neg,-0.0256910908193489,0.00912757190996597,Inf,-2.81466868437355,0.0048827544657136
QTL DV AF,2 - 8,2X,Chr,200,4,GW,small_neg,-0.0225365745310951,0.00912757190996598,Inf,-2.46906567851724,0.0135466352400125
QTL DV AF,2 - 8,20X,Peri,200,4,GW,small_neg,-0.0256183859822313,0.00912757190996582,Inf,-2.80670327606625,0.00500513221079873
QTL DV AF,2 - 8,2X,Peri,200,4,GW,small_neg,-0.0223826505429416,0.00912757190996588,Inf,-2.45220204932083,0.0141984911218824
QTL DV AF,2 - 8,20X,WT,200,4,GW,small_neg,-0.0200972359328723,0.00912757190996581,Inf,-2.20181622572915,0.0276782924607737
QTL DV AF,2 - 8,2X,WT,200,4,GW,small_neg,-0.0227156465942745,0.00912757190996525,Inf,-2.48868448458611,0.0128216696458913
