response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,2 - 8,2X,Peri,2,3,GW,DV,-1.22973010646163,0.119201821214886,Inf,-10.3163701185806,5.94275508276514e-25
Genetic gain,2 - 8,20X,WT,2,3,GW,DV,-1.31346949181733,0.119201821214886,Inf,-11.018871007428,3.09921749061387e-28
Genetic gain,2 - 8,2X,WT,2,3,GW,DV,-1.30149390578479,0.119201821214888,Inf,-10.9184062166178,9.41331034769299e-28
Genetic gain,2 - 8,20X,Chr,200,3,GW,DV,-1.93712620774874,0.119201821214887,Inf,-16.2508104994188,2.20430881000468e-59
Genetic gain,2 - 8,2X,Chr,200,3,GW,DV,-2.22386936349496,0.119201821214887,Inf,-18.656337133356,1.12160936069258e-77
Genetic gain,2 - 8,20X,Peri,200,3,GW,DV,-2.23365769787275,0.119201821214887,Inf,-18.7384527778824,2.40520221764945e-78
Genetic gain,2 - 8,2X,Peri,200,3,GW,DV,-1.88668423994965,0.119201821214887,Inf,-15.8276460940013,2.00585928294355e-56
Genetic gain,2 - 8,20X,WT,200,3,GW,DV,-2.13016403446215,0.119201821214885,Inf,-17.870230611847,2.01161059288777e-71
Genetic gain,2 - 8,2X,WT,200,3,GW,DV,-1.99561434548697,0.119201821214886,Inf,-16.7414752991857,6.53482846111937e-63
Genetic gain,2 - 8,20X,Chr,2,4,GW,DV,-0.284225330748002,0.119201821214886,Inf,-2.38440426372033,0.0171067984344525
Genetic gain,2 - 8,2X,Peri,2,4,GW,DV,-0.288114562256045,0.119201821214887,Inf,-2.41703154632727,0.0156476609297377
Genetic gain,2 - 8,2X,WT,2,4,GW,DV,-0.265356831008819,0.119201821214887,Inf,-2.2261138991363,0.0260065531777344
Genetic gain,2 - 8,20X,Chr,200,4,GW,DV,-2.8697133856213,0.119201821214887,Inf,-24.0744089005824,4.63506940729486e-128
Genetic gain,2 - 8,2X,Chr,200,4,GW,DV,-2.70450226894334,0.119201821214886,Inf,-22.6884307754653,5.82800820386609e-114
Genetic gain,2 - 8,20X,Peri,200,4,GW,DV,-3.24146264832159,0.119201821214887,Inf,-27.1930631200521,7.84540633225431e-163
Genetic gain,2 - 8,2X,Peri,200,4,GW,DV,-2.76126181991548,0.119201821214886,Inf,-23.1645942299634,1.03619641089096e-118
Genetic gain,2 - 8,20X,WT,200,4,GW,DV,-2.65559483866726,0.119201821214887,Inf,-22.2781398102968,6.02068749866123e-110
Genetic gain,2 - 8,2X,WT,200,4,GW,DV,-2.84349471578383,0.119201821214887,Inf,-23.8544569772791,9.10342524128256e-126
Genetic gain,2 - 8,20X,Chr,2,5,GW,DV,-1.03708198387442,0.119201821214887,Inf,-8.70021928612026,3.31243462773601e-18
Genetic gain,2 - 8,2X,Chr,2,5,GW,DV,-1.05255828187686,0.119201821214887,Inf,-8.8300520172372,1.04627054430523e-18
Genetic gain,2 - 8,20X,Peri,2,5,GW,DV,-1.29226273381938,0.119201821214887,Inf,-10.8409646819891,2.20137389801602e-27
Genetic gain,2 - 8,2X,Peri,2,5,GW,DV,-1.30076290990172,0.119201821214887,Inf,-10.9122737945154,1.0070545876675e-27
Genetic gain,2 - 8,20X,WT,2,5,GW,DV,-1.14772900466789,0.119201821214887,Inf,-9.62845192271736,6.06360707267231e-22
Genetic gain,2 - 8,2X,WT,2,5,GW,DV,-1.11487068493029,0.119201821214887,Inf,-9.35279908954159,8.53582771279351e-21
Genetic gain,2 - 8,20X,Chr,200,5,GW,DV,-1.94479265728613,0.119201821214887,Inf,-16.3151253685984,7.70478491828728e-60
Genetic gain,2 - 8,2X,Chr,200,5,GW,DV,-1.87640702319617,0.119201821214887,Inf,-15.741429149925,7.86471478798197e-56
Genetic gain,2 - 8,20X,Peri,200,5,GW,DV,-2.09926667918456,0.119201821214887,Inf,-17.6110285714527,2.02727471130764e-69
Genetic gain,2 - 8,2X,Peri,200,5,GW,DV,-2.18554304006068,0.119201821214889,Inf,-18.3348124868053,4.36518976392598e-75
Genetic gain,2 - 8,20X,WT,200,5,GW,DV,-1.89151333681465,0.119201821214887,Inf,-15.8681580326259,1.05285652238103e-56
Genetic gain,2 - 8,2X,WT,200,5,GW,DV,-1.96397596193259,0.119201821214886,Inf,-16.4760566735983,5.45274359870852e-61
