response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 5,CV,2X,WT,2,2,large_neg,DV,0.0611999999999868,0.0075459928297414,Inf,8.11026479627388,6.7168492989822e-14
QTL AF,3 - 4,CV,2X,WT,2,2,large_neg,DV,-0.11449090909092,0.00754599282974137,Inf,-15.172411593034,0
QTL AF,4 - 5,CV,2X,WT,2,2,large_neg,DV,0.121277272727267,0.00754599282974133,Inf,16.0717450259523,0
QTL AF,1 - 2,GW,2X,WT,2,2,large_neg,DV,0.138506818181765,0.00754599282974143,Inf,18.3550158748972,0
QTL AF,1 - 3,GW,2X,WT,2,2,large_neg,DV,0.171965909090861,0.00754599282974142,Inf,22.7890369061951,0
QTL AF,1 - 4,GW,2X,WT,2,2,large_neg,DV,0.0921431818181309,0.00754599282974137,Inf,12.2108758777192,0
QTL AF,1 - 5,GW,2X,WT,2,2,large_neg,DV,0.194036363636309,0.00754599282974152,Inf,25.7138282548508,0
QTL AF,2 - 3,GW,2X,WT,2,2,large_neg,DV,0.0334590909090961,0.00754599282974144,Inf,4.43402103129782,9.04334565244858e-05
QTL AF,2 - 4,GW,2X,WT,2,2,large_neg,DV,-0.0463636363636337,0.0075459928297414,Inf,-6.14413999717815,8.03289645912031e-09
QTL AF,2 - 5,GW,2X,WT,2,2,large_neg,DV,0.0555295454545447,0.00754599282974148,Inf,7.35881237995386,1.88959958791202e-12
QTL AF,3 - 4,GW,2X,WT,2,2,large_neg,DV,-0.0798227272727298,0.00754599282974143,Inf,-10.578161028476,4.74065231514942e-14
QTL AF,3 - 5,GW,2X,WT,2,2,large_neg,DV,0.0220704545454485,0.0075459928297415,Inf,2.92479134865605,0.0284433370749737
QTL AF,4 - 5,GW,2X,WT,2,2,large_neg,DV,0.101893181818178,0.00754599282974147,Inf,13.502952377132,0
QTL AF,1 - 5,CV,20X,Chr,200,2,large_neg,DV,0.0295467514452651,0.00754599282972814,Inf,3.91555519756962,0.000857503956158245
QTL AF,2 - 5,CV,20X,Chr,200,2,large_neg,DV,0.028817377280139,0.00754599282974147,Inf,3.81889804699513,0.00126461595834204
QTL AF,4 - 5,CV,20X,Chr,200,2,large_neg,DV,0.0218603258784195,0.00754599282974126,Inf,2.89694495762847,0.0308895558587394
QTL AF,1 - 5,CV,2X,Chr,200,2,large_neg,DV,0.0264943741751583,0.00754599282973981,Inf,3.5110521269965,0.00407912803297816
QTL AF,2 - 5,CV,2X,Chr,200,2,large_neg,DV,0.0294485594351026,0.00754599282974132,Inf,3.90254272692068,0.000904063522925269
QTL AF,4 - 5,CV,2X,Chr,200,2,large_neg,DV,0.0261657218207164,0.00754599282974104,Inf,3.46749889790372,0.00477462987452637
QTL AF,2 - 5,GW,2X,Chr,200,2,large_neg,DV,0.025229493286023,0.00754599282974145,Inf,3.34342926839057,0.00739200360246595
QTL AF,4 - 5,GW,2X,Chr,200,2,large_neg,DV,0.0209475083673146,0.00754599282974144,Inf,2.77597777256731,0.0437394296039557
QTL AF,1 - 5,CV,20X,Peri,200,2,large_neg,DV,0.0282123772190704,0.00754599282974197,Inf,3.73872303560552,0.00173243952592361
QTL AF,2 - 5,CV,20X,Peri,200,2,large_neg,DV,0.0269773879507072,0.00754599282974136,Inf,3.5750614345113,0.00322445668969584
QTL AF,2 - 5,GW,20X,Peri,200,2,large_neg,DV,0.0215011041156744,0.00754599282974142,Inf,2.84934065017011,0.0354938296706095
QTL AF,1 - 5,CV,2X,Peri,200,2,large_neg,DV,0.0286039338837764,0.00754599282974144,Inf,3.79061238582657,0.0014142427410877
QTL AF,2 - 5,CV,2X,Peri,200,2,large_neg,DV,0.0295024866529361,0.00754599282974138,Inf,3.90968919777615,0.000878207778648776
QTL AF,4 - 5,CV,2X,Peri,200,2,large_neg,DV,0.0272340102626624,0.00754599282974136,Inf,3.60906919435754,0.00284068167529461
QTL AF,2 - 5,GW,2X,Peri,200,2,large_neg,DV,0.0242997830534384,0.00754599282974139,Inf,3.22022344861825,0.0112185150579009
QTL AF,4 - 5,GW,2X,Peri,200,2,large_neg,DV,0.0210611606257404,0.00754599282974144,Inf,2.79103904561516,0.0419251104370649
QTL AF,1 - 5,CV,20X,WT,200,2,large_neg,DV,0.0276524973952332,0.00754599282974174,Inf,3.66452738813158,0.00230417792576831
QTL AF,2 - 5,CV,20X,WT,200,2,large_neg,DV,0.0287947435309273,0.00754599282974145,Inf,3.81589860746183,0.0012797525150694
