response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 5,GW,2X,Peri,2,2,negative_QTL,DV,-0.0835714285715211,0.00576834677914855,Inf,-14.4879341986885,0
QTL fixation,3 - 4,GW,2X,Peri,2,2,negative_QTL,DV,0.14428571428589,0.00576834677914853,Inf,25.0133564797898,0
QTL fixation,4 - 5,GW,2X,Peri,2,2,negative_QTL,DV,-0.157380952381125,0.00576834677914851,Inf,-27.2835455992396,0
QTL fixation,1 - 2,CV,20X,WT,2,2,negative_QTL,DV,-0.21166666666669,0.00576834677914842,Inf,-36.6945114034801,0
QTL fixation,1 - 3,CV,20X,WT,2,2,negative_QTL,DV,-0.279523809524667,0.00576834677914847,Inf,-48.458218658957,0
QTL fixation,1 - 4,CV,20X,WT,2,2,negative_QTL,DV,-0.136190476191089,0.00576834677914843,Inf,-23.6099668423878,0
QTL fixation,1 - 5,CV,20X,WT,2,2,negative_QTL,DV,-0.292619047620152,0.00576834677914849,Inf,-50.7284077784498,0
QTL fixation,2 - 3,CV,20X,WT,2,2,negative_QTL,DV,-0.067857142857977,0.00576834677914849,Inf,-11.7637072554771,0
QTL fixation,2 - 4,CV,20X,WT,2,2,negative_QTL,DV,0.0754761904756006,0.00576834677914851,Inf,13.0845445610921,0
QTL fixation,2 - 5,CV,20X,WT,2,2,negative_QTL,DV,-0.0809523809534623,0.00576834677914856,Inf,-14.0338963749699,0
QTL fixation,3 - 4,CV,20X,WT,2,2,negative_QTL,DV,0.143333333333578,0.00576834677914845,Inf,24.8482518165694,0
QTL fixation,4 - 5,CV,20X,WT,2,2,negative_QTL,DV,-0.156428571429063,0.0057683467791486,Inf,-27.1184409360617,0
QTL fixation,1 - 2,GW,20X,WT,2,2,negative_QTL,DV,-0.243095238095777,0.00576834677914854,Inf,-42.142965290249,0
QTL fixation,1 - 3,GW,20X,WT,2,2,negative_QTL,DV,-0.304285714285726,0.00576834677914855,Inf,-52.7509399028609,0
QTL fixation,1 - 4,GW,20X,WT,2,2,negative_QTL,DV,-0.1542857142863,0.00576834677914855,Inf,-26.7469554438045,0
QTL fixation,1 - 5,GW,20X,WT,2,2,negative_QTL,DV,-0.339761904761859,0.00576834677914859,Inf,-58.9010886082699,0
QTL fixation,2 - 3,GW,20X,WT,2,2,negative_QTL,DV,-0.0611904761899494,0.00576834677914852,Inf,-10.6079746126119,4.76285677564192e-14
QTL fixation,2 - 4,GW,20X,WT,2,2,negative_QTL,DV,0.0888095238094768,0.00576834677914849,Inf,15.3960098464445,0
QTL fixation,2 - 5,GW,20X,WT,2,2,negative_QTL,DV,-0.0966666666660828,0.00576834677914851,Inf,-16.7581233180215,0
QTL fixation,3 - 4,GW,20X,WT,2,2,negative_QTL,DV,0.149999999999426,0.00576834677914852,Inf,26.0039844590564,0
QTL fixation,3 - 5,GW,20X,WT,2,2,negative_QTL,DV,-0.0354761904761335,0.00576834677914854,Inf,-6.1501487054095,7.73448272095578e-09
QTL fixation,4 - 5,GW,20X,WT,2,2,negative_QTL,DV,-0.18547619047556,0.00576834677914852,Inf,-32.1541331644659,0
QTL fixation,1 - 2,CV,2X,WT,2,2,negative_QTL,DV,-0.211904761905478,0.00576834677914851,Inf,-36.7357875694079,0
QTL fixation,1 - 3,CV,2X,WT,2,2,negative_QTL,DV,-0.264047619048093,0.00576834677914853,Inf,-45.775267881358,0
QTL fixation,1 - 4,CV,2X,WT,2,2,negative_QTL,DV,-0.145238095238792,0.00576834677914853,Inf,-25.1784611431129,0
QTL fixation,1 - 5,CV,2X,WT,2,2,negative_QTL,DV,-0.280000000000426,0.00576834677914848,Inf,-48.5407709904985,0
