response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,CV - GW,20X,WT,200,8,2,R,0.103003924723709,0.0203763376163228,Inf,5.05507548329959,4.30220576670787e-07
Prediction accuracy,CV - GW,2X,WT,200,8,2,R,0.096675327355456,0.0203763376163229,Inf,4.74448986740444,2.09032441553356e-06
Prediction accuracy,CV - GW,20X,Chr,200,2,3,R,0.0823075349978396,0.0203763376163222,Inf,4.03936843546939,5.35953205351181e-05
Prediction accuracy,CV - GW,20X,WT,200,2,3,R,0.0581147130171921,0.0203763376163228,Inf,2.85206861563966,0.00434357235797694
Prediction accuracy,CV - GW,20X,Chr,200,8,3,R,0.167443845073824,0.0203763376163226,Inf,8.2175633436547,2.07679549774387e-16
Prediction accuracy,CV - GW,2X,Chr,200,8,3,R,0.0870392598248288,0.0203763376163228,Inf,4.27158508382315,1.94088447267146e-05
Prediction accuracy,CV - GW,20X,Peri,200,8,3,R,0.126071718273331,0.0203763376163227,Inf,6.18716280850881,6.12566909958463e-10
Prediction accuracy,CV - GW,2X,Peri,200,8,3,R,0.0764272151451438,0.0203763376163229,Inf,3.75078272573968,0.000176283408312474
Prediction accuracy,CV - GW,20X,WT,200,8,3,R,0.0933082763345395,0.0203763376163227,Inf,4.57924667776381,4.66653585708884e-06
Prediction accuracy,CV - GW,2X,WT,200,8,3,R,0.087617352129878,0.0203763376163227,Inf,4.29995584975442,1.70832139417948e-05
Prediction accuracy,CV - GW,20X,Chr,200,2,4,R,0.0715970939822935,0.0203763376163226,Inf,3.51373712638823,0.000441849842568657
Prediction accuracy,CV - GW,2X,Chr,200,2,4,R,0.0449570898792678,0.0203763376163228,Inf,2.20633809302679,0.0273603360887639
Prediction accuracy,CV - GW,20X,Peri,200,2,4,R,0.0990485248961194,0.0203763376163227,Inf,4.86095817419002,1.16818936127068e-06
Prediction accuracy,CV - GW,2X,Peri,200,2,4,R,0.0537268375119033,0.0203763376163227,Inf,2.63672689977736,0.00837101954192314
Prediction accuracy,CV - GW,20X,WT,200,2,4,R,0.0547923210432218,0.0203763376163228,Inf,2.68901713717825,0.00716627401316889
Prediction accuracy,CV - GW,20X,Chr,200,8,4,R,0.19139861595845,0.0203763376163226,Inf,9.3931804410783,5.82152924292498e-21
Prediction accuracy,CV - GW,2X,Chr,200,8,4,R,0.111818777122916,0.0203763376163227,Inf,5.4876778756032,4.0725184659606e-08
Prediction accuracy,CV - GW,20X,Peri,200,8,4,R,0.117223417500825,0.0203763376163228,Inf,5.75291888601812,8.77155786834521e-09
Prediction accuracy,CV - GW,2X,Peri,200,8,4,R,0.1079215750844,0.0203763376163228,Inf,5.29641671219405,1.18097166118099e-07
Prediction accuracy,CV - GW,20X,WT,200,8,4,R,0.0945240362016614,0.0203763376163227,Inf,4.63891195667773,3.50248211644855e-06
Prediction accuracy,CV - GW,2X,WT,200,8,4,R,0.0979418811407394,0.0203763376163228,Inf,4.80664793570564,1.53481922693872e-06
Prediction accuracy,CV - GW,20X,Chr,200,2,5,R,0.0766818652851169,0.0203763376163232,Inf,3.76328007166941,0.000167699210025871
Prediction accuracy,CV - GW,2X,Chr,200,2,5,R,0.0534668836487414,0.0203763376163229,Inf,2.62396926550288,0.0086911627448879
Prediction accuracy,CV - GW,20X,Peri,200,2,5,R,0.0652160924993434,0.0203763376163226,Inf,3.20057969824281,0.00137151433467306
Prediction accuracy,CV - GW,2X,Peri,200,2,5,R,0.056130041059198,0.0203763376163227,Inf,2.7546677973295,0.00587517550527778
Prediction accuracy,CV - GW,20X,WT,200,2,5,R,0.0425450099320022,0.0203763376163227,Inf,2.08796157254094,0.036801301196229
Prediction accuracy,CV - GW,2X,WT,200,2,5,R,0.0485073933585651,0.0203763376163227,Inf,2.38057467793956,0.0172856570060367
Prediction accuracy,CV - GW,20X,Chr,200,8,5,R,0.161804512195353,0.0203763376163228,Inf,7.94080443905367,2.00874171133716e-15
Prediction accuracy,CV - GW,2X,Chr,200,8,5,R,0.101682201689848,0.0203763376163227,Inf,4.99020989956477,6.03137178268733e-07
Prediction accuracy,CV - GW,20X,Peri,200,8,5,R,0.141061885088585,0.0203763376163227,Inf,6.92282822088624,4.42714492755131e-12
Prediction accuracy,CV - GW,2X,Peri,200,8,5,R,0.073233596233438,0.0203763376163231,Inf,3.59405098268356,0.000325576087102772
Prediction accuracy,CV - GW,20X,WT,200,8,5,R,0.0788927905147771,0.0203763376163228,Inf,3.87178461607246,0.000108041403068545
Prediction accuracy,CV - GW,2X,WT,200,8,5,R,0.0696790576979609,0.0203763376163227,Inf,3.41960655589765,0.000627117662050638
