response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,2X,Chr,200,2,4,positive_QTL,DV,0.0136819787119211,0.00541011292048736,Inf,2.52896361185166,0.0114399887091666
QTL fixation,CV - GW,20X,Peri,200,2,4,positive_QTL,DV,0.0183126993432222,0.00541011292048727,Inf,3.38490150064611,0.000712038005768169
QTL fixation,CV - GW,2X,Peri,200,2,4,positive_QTL,DV,0.017522585370575,0.00541011292048735,Inf,3.23885760391791,0.00120009472565189
QTL fixation,CV - GW,20X,WT,200,2,4,positive_QTL,DV,0.0111142172682519,0.00541011292048731,Inf,2.05434108891959,0.0399426905222872
QTL fixation,CV - GW,2X,WT,200,2,4,positive_QTL,DV,0.0115562555329698,0.00541011292048727,Inf,2.13604701099823,0.0326755821824016
QTL fixation,CV - GW,20X,Chr,2,8,4,positive_QTL,DV,0.0264285714288533,0.0054101129204873,Inf,4.88503138793503,1.03412378415328e-06
QTL fixation,CV - GW,2X,Chr,2,8,4,positive_QTL,DV,0.0166666666661747,0.00541011292048731,Inf,3.08065042470009,0.00206548992260871
QTL fixation,CV - GW,20X,Peri,2,8,4,positive_QTL,DV,0.0223809523809147,0.00541011292048729,Inf,4.13687342756957,3.52070183805967e-05
QTL fixation,CV - GW,2X,Peri,2,8,4,positive_QTL,DV,0.0307142857143169,0.00541011292048719,Inf,5.67719863997794,1.36918446352073e-08
QTL fixation,CV - GW,20X,WT,2,8,4,positive_QTL,DV,0.0195238095237682,0.00541011292048736,Inf,3.60876192617611,0.000307661786567874
QTL fixation,CV - GW,2X,WT,2,8,4,positive_QTL,DV,0.0150000000000313,0.00541011292048731,Inf,2.77258538231772,0.00556129279538001
QTL fixation,CV - GW,20X,Chr,200,8,4,positive_QTL,DV,-0.0184375770887455,0.00541011292048734,Inf,-3.40798378143365,0.000654447843955205
QTL fixation,CV - GW,20X,Chr,2,2,5,positive_QTL,DV,0.134761904758913,0.00541011292048698,Inf,24.9092591484732,5.90574674414597e-137
QTL fixation,CV - GW,2X,Chr,2,2,5,positive_QTL,DV,0.110476190477043,0.00541011292048723,Inf,20.4203113873441,1.10358572614753e-92
QTL fixation,CV - GW,20X,Peri,2,2,5,positive_QTL,DV,0.145714285714751,0.00541011292048726,Inf,26.9336865711164,8.85813098275204e-160
QTL fixation,CV - GW,2X,Peri,2,2,5,positive_QTL,DV,0.103333333333252,0.00541011292048725,Inf,19.1000326336895,2.52329408422806e-81
