response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,Chr - WT,2X,200,2,1,CV,R,0.164401740142903,0.0686706200495139,Inf,2.39406226453705,0.0439589552765592
Bulmer effect,Chr - WT,20X,200,8,1,CV,R,0.252572451452766,0.0686706200495133,Inf,3.67802782719385,0.000687701790697881
Bulmer effect,Peri - WT,20X,200,8,1,CV,R,0.175351519605356,0.0686706200495156,Inf,2.55351589193337,0.0287382958120155
Bulmer effect,Chr - WT,20X,200,8,2,CV,R,0.253451494689223,0.0686706200495166,Inf,3.69082869073362,0.000654297232298484
Bulmer effect,Chr - WT,20X,200,2,3,CV,R,0.171416825148474,0.0686706200495124,Inf,2.49621781520074,0.033581822648844
Bulmer effect,Chr - WT,20X,200,8,3,CV,R,0.257981524101726,0.0686706200495099,Inf,3.75679619487529,0.000504910615021448
Bulmer effect,Peri - WT,20X,200,8,3,CV,R,0.189332347610343,0.0686706200495121,Inf,2.75710846172399,0.016078436164002
Bulmer effect,Chr - WT,20X,200,8,4,CV,R,0.23005067571765,0.0686706200495146,Inf,3.350059684211,0.00232972546138255
Bulmer effect,Peri - WT,2X,2,2,5,CV,R,-0.215540628596129,0.0815073513080601,Inf,-2.64443176151664,0.0222902767420679
Bulmer effect,Chr - WT,20X,200,8,5,CV,R,0.243379828346753,0.0686706200495156,Inf,3.54416238227151,0.00114633220721294
Bulmer effect,Peri - WT,20X,200,8,5,CV,R,0.168118374125181,0.0686706200495179,Inf,2.44818488611217,0.0381658221898489
Bulmer effect,Chr - Peri,20X,200,2,1,GW,R,-0.208998606873048,0.0686706200495017,Inf,-3.04349380743016,0.00661202729573507
Bulmer effect,Chr - WT,20X,200,2,1,GW,R,-0.357705037189068,0.0686706200495028,Inf,-5.20899675772854,5.68483047636015e-07
Bulmer effect,Chr - WT,20X,200,8,1,GW,R,0.212834761719861,0.0686706200495107,Inf,3.09935692391317,0.00550612771529468
Bulmer effect,Peri - WT,20X,200,8,1,GW,R,0.168337821831468,0.0686706200495191,Inf,2.45138054250971,0.0378451022486529
Bulmer effect,Peri - WT,2X,200,8,1,GW,R,0.18626512353695,0.0686706200495114,Inf,2.71244272154021,0.0183298323522407
Bulmer effect,Chr - WT,20X,200,8,2,GW,R,0.283344299959067,0.0686706200495135,Inf,4.12613574414746,0.000109271767556818
Bulmer effect,Peri - WT,20X,200,8,2,GW,R,0.219621263570354,0.0686706200495171,Inf,3.19818378532171,0.00395252122723588
Bulmer effect,Chr - WT,2X,200,8,2,GW,R,0.161649462734357,0.0686706200495365,Inf,2.35398286221602,0.0487130481469387
Bulmer effect,Chr - WT,20X,200,2,3,GW,R,0.201457844135986,0.0686706200495117,Inf,2.93368319655093,0.00938828955093962
Bulmer effect,Chr - WT,20X,200,8,3,GW,R,0.323117476016613,0.0686706200495085,Inf,4.70532340881239,7.56689839864766e-06
Bulmer effect,Peri - WT,20X,200,8,3,GW,R,0.19911542446121,0.0686706200495117,Inf,2.89957225255353,0.0104423765373547
Bulmer effect,Chr - WT,20X,200,8,4,GW,R,0.309018852789676,0.0686706200495137,Inf,4.50001547338386,2.02436554570529e-05
Bulmer effect,Peri - WT,20X,200,8,4,GW,R,0.183108941163147,0.0686706200495169,Inf,2.66648154670966,0.0209313564651388
Bulmer effect,Chr - WT,20X,200,8,5,GW,R,0.301663513923598,0.0686706200495171,Inf,4.39290505468094,3.32767529246381e-05
Bulmer effect,Peri - WT,20X,200,8,5,GW,R,0.229449251307775,0.0686706200495196,Inf,3.34130158053495,0.00240334516323693
