response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL DV AF,large_neg - med_neg,8,20X,Peri,200,3,GW,-0.0604871949366703,0.00912757190996601,Inf,-6.62686588868468,1.02881148045242e-10
QTL DV AF,large_neg - small_neg,8,20X,Peri,200,3,GW,-0.0950817867719609,0.00912757190996597,Inf,-10.4169857777999,3.13082892944294e-14
QTL DV AF,med_neg - small_neg,8,20X,Peri,200,3,GW,-0.0345945918352906,0.00912757190996603,Inf,-3.79011988911511,0.000442224121811607
QTL DV AF,large_neg - med_neg,2,2X,Peri,200,3,GW,-0.0370234600148633,0.00912757190996594,Inf,-4.05622222208288,0.000147507373590261
QTL DV AF,large_neg - small_neg,2,2X,Peri,200,3,GW,-0.0560019990128299,0.00912757190996597,Inf,-6.13547606803118,2.54640819541407e-09
QTL DV AF,large_neg - med_neg,8,2X,Peri,200,3,GW,-0.0583285027108044,0.00912757190996591,Inf,-6.39036353656317,4.96416796558208e-10
QTL DV AF,large_neg - small_neg,8,2X,Peri,200,3,GW,-0.0925581688055257,0.00912757190996593,Inf,-10.1405028323541,2.91988655476416e-14
QTL DV AF,med_neg - small_neg,8,2X,Peri,200,3,GW,-0.0342296660947213,0.00912757190996622,Inf,-3.75013929579087,0.000518391829113396
QTL DV AF,large_neg - med_neg,2,20X,WT,200,3,GW,-0.0403746111567353,0.00912757190996593,Inf,-4.42336818104411,2.8923263989955e-05
QTL DV AF,large_neg - small_neg,2,20X,WT,200,3,GW,-0.0621903010858784,0.00912757190996596,Inf,-6.81345506771365,2.86068946309115e-11
QTL DV AF,med_neg - small_neg,2,20X,WT,200,3,GW,-0.021815689929143,0.00912757190996601,Inf,-2.39008688666954,0.0444123011449432
QTL DV AF,large_neg - med_neg,8,20X,WT,200,3,GW,-0.05657628351197,0.00912757190996608,Inf,-6.19839362209749,1.71085390299197e-09
QTL DV AF,large_neg - small_neg,8,20X,WT,200,3,GW,-0.0913624876604115,0.00912757190996596,Inf,-10.0095062040166,2.37587727269784e-14
QTL DV AF,med_neg - small_neg,8,20X,WT,200,3,GW,-0.0347862041484415,0.00912757190996604,Inf,-3.81111258191895,0.000406564173323742
QTL DV AF,large_neg - med_neg,2,2X,WT,200,3,GW,-0.0370629003780861,0.00912757190996596,Inf,-4.06054323577763,0.000144817393442409
